tempo_h,p_man,q_tr
"951,365910","4,226921","191,443567"
"952,366295","4,226921","191,443567"
"953,366679","4,226921","191,443566"
"954,367064","4,226920","191,443566"
"955,367449","4,226920","191,443566"
"956,367834","4,226920","191,443566"
"957,368219","4,226919","191,443565"
"958,368603","4,226919","191,443565"
"959,368988","4,226919","191,443565"
"960,369373","4,226919","191,443565"
"961,369758","4,226919","191,443565"
"962,370142","4,226918","191,443565"
"963,370527","4,226918","191,443565"
"964,370912","4,226918","191,443564"
"965,371297","4,226918","191,443564"
"966,371681","4,226918","191,443564"
"967,372066","4,226918","191,443564"
"968,372451","4,226918","191,443564"
"969,372836","4,226917","191,443564"
"970,373220","4,226917","191,443564"
"971,373605","4,226917","191,443564"
"972,373990","4,226917","191,443564"
"973,374375","4,226917","191,443564"
"974,374760","4,226917","191,443563"
"975,375144","4,226917","191,443563"
"976,375529","4,226917","191,443563"
"977,375914","4,226917","191,443563"
"978,376299","4,226917","191,443563"
"979,376683","4,226917","191,443563"
"980,377068","4,226917","191,443563"
"981,377453","4,226917","191,443563"
"982,377838","4,226916","191,443563"
"983,378222","4,226916","191,443563"
"984,378607","4,226916","191,443563"
"985,378992","4,226916","191,443563"
"986,379377","4,226916","191,443563"
"987,379761","4,226916","191,443563"
"988,380146","4,226916","191,443563"
"989,380531","4,226916","191,443563"
"990,380916","4,226916","191,443563"
"991,381301","4,226916","191,443563"
"992,381685","4,226916","191,443563"
"993,382070","4,226916","191,443563"
"994,382455","4,226916","191,443563"
"995,382840","4,226916","191,443563"
"996,383224","4,226916","191,443563"
"997,383609","4,226916","191,443563"
"998,383994","4,226916","191,443563"
"999,384379","4,226916","191,443563"
"1000,384763","4,226916","191,443563"
"1001,385148","3,705507","191,061095"
"1002,385533","3,171147","190,665625"
"1003,385918","2,687264","190,306869"
"1004,386302","2,249214","189,981564"
"1005,386687","1,852657","189,686639"
"1006,387072","1,493660","189,419288"
"1007,387457","1,168659","189,176960"
"1008,387841","0,874432","188,957336"
"1009,388226","0,608063","188,758306"
"1010,388611","0,366911","188,577955"
"1011,388996","0,148587","188,414541"
"1012,389381","-0,049071","188,266484"
"1013,389765","-0,228021","188,132351"
"1014,390150","-0,390035","188,010837"
"1015,390535","-0,536715","187,900762"
"1016,390920","-0,669514","187,801054"
"1017,391304","-0,789746","187,710740"
"1018,391689","-0,898601","187,628939"
"1019,392074","-0,997156","187,554850"
"1020,392459","-1,086384","187,487748"
"1021,392843","-1,167170","187,426978"
"1022,393228","-1,240313","187,371941"
"1023,393613","-1,306534","187,322099"
"1024,393998","-1,366490","187,276966"
"1025,394382","-1,420774","187,236088"
"1026,394767","-1,469921","187,199074"
"1027,395152","-1,514419","187,165566"
"1028,395537","-1,554707","187,135195"
"1029,395922","-1,591182","187,107725"
"1030,396306","-1,624209","187,082845"
"1031,396691","-1,654112","187,060218"
"1032,397076","-1,681184","187,039995"
"1033,397461","-1,705695","187,021445"
"1034,397845","-1,727886","187,004673"
"1035,398230","-1,747978","186,989568"
"1036,398615","-1,766169","186,975754"
"1037,399000","-1,782640","186,963458"
"1038,399384","-1,797552","186,952050"
"1039,399769","-1,811054","186,942133"
"1040,400154","-1,823278","186,932674"
