tempo,p_man,q_tr
"4456,714121","4,226129","191,442982"
"4471,719892","4,226201","191,443035"
"4486,725664","4,226267","191,443084"
"4501,731435","4,226267","191,443084"
"4516,737207","4,226326","191,443127"
"4531,742978","4,226378","191,443166"
"4546,748750","4,226425","191,443200"
"4561,754521","4,226465","191,443230"
"4576,760292","4,226504","191,443259"
"4591,766064","4,226538","191,443284"
"4606,771835","4,226571","191,443309"
"4621,777607","4,226600","191,443329"
"4636,783378","4,226627","191,443350"
"4651,789150","4,226651","191,443367"
"4666,794921","4,226674","191,443385"
"4681,800693","4,226696","191,443400"
"4696,806464","4,226716","191,443415"
"4711,812235","4,226734","191,443429"
"4726,818007","4,226751","191,443441"
"4741,823778","4,226767","191,443453"
"4756,829550","4,226781","191,443463"
"4771,835321","4,226793","191,443472"
"4786,841093","4,226806","191,443481"
"4801,846864","4,226817","191,443490"
"4816,852636","4,226827","191,443498"
"4831,858407","4,226837","191,443504"
"4846,864179","4,226845","191,443511"
"4861,869950","4,226853","191,443516"
"4876,875721","4,226859","191,443521"
"4891,881493","4,226866","191,443526"
"4906,887264","4,226872","191,443530"
"4921,893036","4,226877","191,443534"
"4936,898807","4,226881","191,443537"
"4951,904579","4,226885","191,443540"
"4966,910350","4,226889","191,443543"
"4981,916122","4,226891","191,443545"
"4996,921893","4,226894","191,443547"
"5011,927664","4,226897","191,443549"
"5026,933436","4,226900","191,443551"
"5041,939207","4,226902","191,443552"
"5056,944979","4,226904","191,443554"
"5071,950750","4,226905","191,443555"
"5086,956522","4,226906","191,443556"
"5101,962293","4,226908","191,443557"
"5116,968065","4,226909","191,443558"
"5131,973836","4,226910","191,443558"
"5146,979608","4,226911","191,443559"
"5161,985379","4,226911","191,443560"
"5176,991150","4,226912","191,443560"
"5191,996922","4,226913","191,443560"
"5207,002693","4,226913","191,443561"
"5222,008465","4,226914","191,443561"
"5237,014236","4,226914","191,443561"
"5252,020008","4,226914","191,443562"
"5267,025779","4,226915","191,443562"
"5282,031551","4,226915","191,443562"
"5297,037322","4,226915","191,443562"
"5312,043093","4,226915","191,443562"
"5327,048865","4,226915","191,443562"
"5342,054636","4,226915","191,443562"
"5357,060408","4,226915","191,443562"
"5372,066179","4,226915","191,443562"
"5387,071951","4,226915","191,443562"
"5402,077722","4,226915","191,443562"
"5417,083494","4,226915","191,443562"
"5432,089265","4,226915","191,443562"
"5447,095037","4,226915","191,443563"
"5462,100808","4,226916","191,443563"
"5477,106579","4,226916","191,443563"
"5492,112351","4,226916","191,443563"
"5507,118122","4,226916","191,443563"
"5522,123894","4,226916","191,443563"
"5537,129665","4,226916","191,443563"
"5552,135437","4,226916","191,443563"
"5567,141208","4,226916","191,443563"
"5582,146980","4,226916","191,443563"
"5597,152751","4,226916","191,443563"
"5612,158523","4,226916","191,443563"
"5627,164294","4,226916","191,443563"
"5642,170065","4,226916","191,443563"
"5657,175837","4,226916","191,443563"
"5672,181608","4,226916","191,443563"
"5687,187380","4,226916","191,443563"
"5702,193151","4,226916","191,443563"
"5717,198923","4,226916","191,443563"
"5732,204694","4,226916","191,443563"
"5747,210466","4,226916","191,443563"
"5762,216237","4,226916","191,443563"
"5777,222008","4,226916","191,443563"
"5792,227780","4,226916","191,443563"
"5807,233551","4,226916","191,443563"
"5822,239323","4,226916","191,443563"
"5837,245094","4,226916","191,443563"
"5852,250866","4,226916","191,443563"
"5867,256637","4,226916","191,443563"
"5882,262409","4,226916","191,443563"
"5897,268180","4,226916","191,443563"
"5912,273952","4,226916","191,443563"
"5927,279723","4,226916","191,443563"
"5942,285494","4,226916","191,443563"
"5957,291266","4,226915","191,443563"
"5972,297037","4,226915","191,443563"
"5987,302809","4,226915","191,443563"
"6002,308580","4,226915","191,443563"
"6017,314352","3,705507","191,061095"
"6032,320123","3,171148","190,665625"
"6047,325895","2,687265","190,306869"
"6062,331666","2,249214","189,981565"
"6077,337437","1,852658","189,686639"
"6092,343209","1,493660","189,419288"
"6107,348980","1,168659","189,176961"
"6122,354752","0,874433","188,957336"
"6137,360523","0,608064","188,758307"
"6152,366295","0,366913","188,577956"
"6167,372066","0,148589","188,414542"
"6182,377838","-0,049069","188,266486"
"6197,383609","-0,228019","188,132352"
"6212,389381","-0,390033","188,010838"
"6227,395152","-0,536713","187,900764"
"6242,400923","-0,669512","187,801055"
"6257,406695","-0,789745","187,710741"
"6272,412466","-0,898600","187,628940"
"6287,418238","-0,997154","187,554851"
"6302,424009","-1,086383","187,487749"
"6317,429781","-1,167169","187,426978"
"6332,435552","-1,240311","187,371942"
"6347,441324","-1,306533","187,322101"
"6362,447095","-1,366489","187,276964"
"6377,452866","-1,420773","187,236090"
"6392,458638","-1,469920","187,199077"
"6407,464409","-1,514418","187,165558"
"6422,470181","-1,554706","187,135207"
"6437,475952","-1,591182","187,107726"
"6452,481724","-1,624207","187,082835"
"6467,487495","-1,654108","187,060303"
"6482,493267","-1,681180","187,039901"
"6497,499038","-1,705691","187,021415"
